timestamp,price
1754728859839,116920.40
1754728861847,116920.30
1754728863942,116920.40
1754728865928,116920.40
1754728867879,116920.30
1754728869876,116920.30
1754728871860,116920.30
1754728873406,116920.40
1754728875579,116920.40
1754728877890,116920.30
1754728879954,116920.30
1754728881855,116920.40
1754728883938,116920.40
1754728885592,116920.30
1754728887822,116920.30
1754728889833,116920.30
1754728891911,116913.10
1754728893913,116908.60
1754728895958,116908.70
1754728897894,116908.60
1754728899837,116908.60
1754728901558,116908.70
1754728903888,116908.60
1754728905724,116908.60
1754728907682,116908.60
1754728909729,116908.70
1754728911721,116908.60
1754728913692,116908.60
1754728915951,116908.60
1754728917863,116908.70
1754728919846,116908.60
1754728921946,116908.60
1754728923886,116908.60
1754728925673,116908.60
1754728927906,116908.60
1754728929885,116908.70
1754728931753,116908.70
1754728933869,116908.60
1754728935536,116908.60
1754728937963,116911.00
1754728940025,116918.20
1754728941683,116918.30
1754728943946,116918.20
1754728945682,116922.80
1754728947179,116922.90
1754728950028,116929.80
1754728951819,116929.80
1754728954002,116929.80
1754728955897,116929.90
1754728957836,116928.80
1754728960020,116928.80
1754728961829,116928.70
1754728963968,116928.70
1754728965820,116928.70
1754728968016,116928.70
1754728969541,116928.60
1754728971705,116927.00
1754728974027,116927.00
1754728975898,116927.00
1754728977992,116920.10
1754728979699,116920.00
1754728982028,116980.80
1754728984060,116980.00
1754728985978,116971.10
1754728987883,116952.80
1754728990046,116952.10
1754728991782,116952.20
1754728994057,116944.90
1754728996064,116941.90
1754728998020,116941.90
1754728999761,116942.00
1754729002058,116942.00
1754729004053,116944.40
1754729005884,116944.30
1754729007976,116955.60
1754729010023,116955.60
1754729012005,116959.90
1754729013726,116960.00
1754729016076,116959.90
1754729017998,116970.20
1754729019989,116970.20
1754729022013,116970.20
1754729024095,116970.30
1754729026093,116971.20
1754729028106,116974.80
1754729030070,116974.90
1754729032137,116980.80
1754729034086,116980.80
1754729036162,116980.80
1754729038020,116980.80
1754729040146,116987.30
1754729042175,116993.10
1754729044134,116983.20
1754729046084,116982.00
1754729048130,116983.20
1754729050122,116984.40
1754729052145,116988.20
1754729054006,116993.50
1754729056170,117045.40
1754729058134,117045.40
1754729060059,117045.40
1754729062043,117043.30
1754729063982,117045.30
1754729066169,117047.40
1754729068152,117055.00
1754729070166,117064.00
1754729072148,117064.10
1754729074114,117064.00
1754729076196,117064.10
1754729078144,117064.40
1754729079977,117064.50
1754729082041,117064.40
1754729084201,117064.50
1754729086228,117066.70
1754729088140,117086.80
1754729090242,117089.90
1754729092156,117090.00
1754729094233,117089.90
1754729096228,117095.60
1754729098247,117124.40
1754729100156,117132.20
1754729102253,117145.70
1754729104255,117100.10
1754729106246,117075.10
1754729108248,117064.50
1754729110223,117056.20
1754729112153,117067.40
1754729114204,117078.90
1754729116222,117085.80
1754729118264,117076.00
1754729120254,117058.10
1754729122194,117058.20
1754729124234,117058.10
1754729126273,117050.20
1754729128228,117038.50
1754729130271,117038.50
1754729132231,117013.00
1754729134180,117024.00
1754729136293,117024.00
1754729138250,117024.00
1754729140254,117024.00
1754729142296,117023.90
1754729144257,117033.10
1754729146264,117036.80
1754729148179,117036.70
1754729150310,117036.70
1754729152257,117036.70
1754729154286,117036.80
1754729156323,117036.90
1754729158280,117027.90
1754729160331,117006.30
1754729162312,117000.10
1754729164323,117017.20
1754729166274,117017.20
1754729168210,117017.10
1754729170267,117017.10
1754729172316,117000.10
1754729174307,117009.60
1754729176349,117009.60
1754729178337,117000.10
1754729180288,117000.20
1754729182365,117000.10
1754729184186,117009.90
1754729186353,117009.90
1754729188213,117011.90
1754729190234,117011.90
1754729192366,117013.60
1754729194386,117013.60
1754729196362,117025.80
1754729198384,117029.90
1754729200302,117029.90
1754729202373,117029.90
1754729204319,117036.70
1754729206362,117036.70
1754729208340,117036.80
1754729210399,117036.70
1754729212398,117027.90
1754729214393,117020.10
1754729216318,117020.10
1754729218390,117020.10
1754729220390,117020.10
1754729222393,117020.10
1754729224225,117033.00
1754729226217,117033.00
1754729228213,117033.00
1754729230297,117033.00
1754729232301,117032.90
1754729234329,117034.80
1754729236386,117034.70
1754729238199,117034.80
1754729240385,117032.90
1754729242248,117026.90
1754729244399,117027.20
1754729246399,117027.20
1754729248301,117026.90
1754729250416,117026.90
1754729252234,117026.90
1754729254330,117031.90
1754729256387,117031.80
1754729258348,117031.90
1754729260420,117031.80
1754729262404,117031.80
1754729264329,117031.90
1754729266402,117032.70
1754729268432,117032.70
1754729270295,117032.70
1754729272342,117032.70
1754729274417,117032.90
1754729276424,117032.90
1754729278359,117032.90
1754729280063,117032.80
1754729282205,117055.60
1754729284442,117066.40
1754729286477,117066.40
1754729287841,117066.50
1754729290362,117066.50
1754729292510,117066.50
1754729294212,117066.40
1754729296524,117051.00
1754729298490,117051.00
1754729300486,117051.00
1754729302398,117051.00
1754729304537,117051.00
1754729306512,117051.00
1754729308200,117051.00
1754729310525,117051.10
1754729312318,117051.10
1754729314458,117051.00
1754729316517,117051.00
1754729318455,117051.10
1754729320529,117051.10
1754729322540,117051.00
1754729324544,117051.00
1754729326545,117039.80
1754729328435,117039.80
1754729330508,117039.80
1754729332525,117039.70
1754729334429,117039.80
1754729336503,117039.70
1754729338542,117039.70
1754729340423,117039.80
1754729342519,117039.70
1754729344204,117039.80
1754729346361,117032.70
1754729348528,117032.70
1754729350419,117000.20
1754729352403,117000.20
1754729354419,117000.30
1754729356502,117000.20
1754729358462,117000.20
1754729360516,116980.00
1754729362549,116970.20
1754729364501,116970.30
1754729366461,116970.20
1754729368525,116970.20
1754729370573,116970.10
1754729372572,116960.00
1754729374516,116960.00
1754729376486,116960.10
1754729378559,116960.10
1754729380592,116958.40
1754729382577,116956.80
1754729384496,116938.80
1754729386571,116938.90
1754729388339,116938.80
1754729390583,116938.80
1754729392500,116938.80
1754729394518,116938.90
1754729396589,116938.90
1754729398503,116938.80
1754729400590,116938.80
1754729402550,116965.00
1754729404404,116946.00
1754729406454,116938.80
1754729408611,116911.90
1754729410527,116901.20
1754729412585,116872.20
1754729414583,116860.20
1754729416441,116827.70
1754729418611,116816.60
1754729420611,116816.50
1754729422609,116815.40
1754729424615,116800.30
1754729426614,116792.30
1754729428592,116787.00
1754729430477,116775.80
1754729432464,116769.30
1754729434610,116769.30
1754729436611,116765.40
1754729438569,116764.60
1754729440446,116757.40
1754729442458,116755.20
1754729444538,116755.20
1754729446410,116754.40
1754729448415,116751.10
1754729450574,116750.20
1754729452558,116750.10
1754729454631,116749.20
1754729456485,116739.50
1754729458348,116739.50
1754729460621,116766.40
1754729462540,116775.60
1754729464616,116782.70
1754729466628,116802.10
1754729468602,116820.90
1754729470602,116820.90
1754729472378,116820.80
1754729474617,116820.90
1754729476598,116826.70
1754729478585,116833.80
1754729480624,116839.20
1754729482643,116839.10
1754729484577,116839.20
1754729486643,116839.20
1754729488531,116839.20
1754729490608,116839.20
1754729492634,116839.10
1754729494481,116854.60
1754729496305,116881.80
1754729498190,116872.70
1754729500660,116869.90
1754729502333,116872.70
1754729504404,116881.90
1754729506604,116848.40
1754729508645,116866.70
1754729510451,116866.70
1754729511764,116866.70
1754729514506,116866.60
1754729516663,116866.70
1754729518557,116866.70
1754729520650,116866.60
1754729522555,116879.90
1754729524392,116884.60
1754729526509,116884.50
1754729528689,116884.60
1754729530604,116884.60
1754729532676,116884.60
1754729534704,116884.60
1754729536555,116884.60
1754729538630,116884.60
1754729540704,116884.60
1754729542614,116884.50
1754729544521,116884.50
1754729546539,116884.60
1754729548228,116884.50
1754729550727,116900.00
1754729552670,116899.90
1754729554530,116926.40
1754729556728,116926.40
1754729558546,116926.30
1754729560550,116926.40
1754729562620,116901.80
1754729564690,116921.20
1754729566689,116921.20
1754729568131,116921.20
1754729570657,116921.20
1754729572718,116912.70
1754729574644,116905.10
1754729576459,116905.00
1754729578750,116905.10
1754729580488,116905.10
1754729582565,116905.10
1754729584713,116905.10
1754729586719,116905.10
1754729588792,116905.10
1754729590741,116905.10
1754729592665,116905.10
1754729594739,116905.10
1754729596712,116905.10
1754729598615,116888.60
1754729600799,116888.60
1754729602547,116893.40
1754729604525,116893.30
1754729606666,116904.20
1754729608680,116904.10
1754729610753,116904.20
1754729612630,116905.10
1754729614745,116905.10
1754729616610,116905.10
1754729618573,116922.20
1754729620644,116922.20
1754729622714,116922.20
1754729624786,116922.20
1754729626601,116922.20
1754729628728,116927.80
1754729630801,116922.20
1754729632756,116922.10
1754729634680,116922.20
1754729636789,116922.20
1754729638755,116922.20
1754729640759,116922.10
1754729642771,116904.20
1754729644858,116904.10
1754729646873,116904.10
1754729648759,116904.20
1754729650832,116904.20
